Players,Price,Total pts,Selected,MD pts,Pts per €,Pts per MD,PotM pts,Goals,Assists,Balls recovered,Clean sheets,Red cards,Yellow cards,Mins played,Trans in,Trans out,img_url,Next Match,Position
Á. Morata,8.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,2047.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024456.jpg?v=0.05,ESP v CRO,FWD
D. Jota,8.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,1396.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250080471.jpg?v=0.05,POR v CZE,FWD
L. Trossard,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4949.0,4537.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250023009.jpg?v=0.05,BEL v SVK,MID
O. Dembélé,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.0,1894.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066886.jpg?v=0.05,AUT v FRA,FWD
O. Giroud,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,1808.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250020851.jpg?v=0.05,AUT v FRA,FWD
R. Kolo Muani,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,1372.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250146926.jpg?v=0.05,AUT v FRA,FWD
F. Wirtz,7.5,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13501.0,5373.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,GER v SCO,MID
K. Havertz,7.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7204.0,5865.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087938.jpg?v=0.05,GER v SCO,FWD
L. Modrić,7.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.0,4424.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/74699.jpg?v=0.05,ESP v CRO,MID
F. Chiesa,7.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3877.0,4119.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250090398.jpg?v=0.05,ITA v ALB,FWD
C. Palmer,7.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,3712.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,MID
D. Olmo,7.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2344.0,3837.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250081720.jpg?v=0.05,ESP v CRO,MID
R. Højlund,7.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295.0,2770.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250130221.jpg?v=0.05,SVN v DEN,FWD
A. Dovbyk,7.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2854.0,2624.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250100997.jpg?v=0.05,ROU v UKR,FWD
C. Gakpo,7.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1731.0,2543.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250096849.jpg?v=0.05,POL v NED,FWD
K. Coman,7.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,2386.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250054949.jpg?v=0.05,AUT v FRA,MID
C. Immobile,7.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,2357.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005254.jpg?v=0.05,ITA v ALB,FWD
L. Pellegrini,7.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,2136.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250070130.jpg?v=0.05,ITA v ALB,MID
M. Depay,7.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,1539.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024860.jpg?v=0.05,POL v NED,FWD
J. Grealish,7.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,1605.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,MID
J. Maddison,7.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1552.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,MID
M. Oyarzabal,7.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,1380.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250097180.jpg?v=0.05,ESP v CRO,MID
G. Raspadori,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,971.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105617.jpg?v=0.05,ITA v ALB,FWD
A. Kramarić,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,663.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1906416.jpg?v=0.05,ESP v CRO,FWD
O. Watkins,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,670.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,FWD
F. Torres,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,569.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088320.jpg?v=0.05,ESP v CRO,FWD
D. Vlahović,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,671.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250099180.jpg?v=0.05,SRB v ENG,FWD
A. Budimir,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,205.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250053837.jpg?v=0.05,ESP v CRO,FWD
X. Simons,7.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7690.0,7612.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250128451.jpg?v=0.05,POL v NED,MID
D. Szoboszlai,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5588.0,5258.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250104066.jpg?v=0.05,HUN v SUI,MID
L. Sane,7.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4481.0,4785.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250063984.jpg?v=0.05,GER v SCO,MID
N. Barella,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2971.0,3684.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066739.jpg?v=0.05,ITA v ALB,MID
I. Gundogan,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2926.0,2833.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005335.jpg?v=0.05,GER v SCO,MID
J. Doku,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2693.0,2275.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,FWD
K. Kvaratskhelia,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.0,2527.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101808.jpg?v=0.05,TUR v GEO,MID
C. Eriksen,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,2093.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1905884.jpg?v=0.05,SVN v DEN,MID
P. Schick,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.0,1590.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250055110.jpg?v=0.05,POR v CZE,FWD
N. Fullkrug,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,1323.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250041844.jpg?v=0.05,GER v SCO,FWD
N. Williams,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,1326.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250163185.jpg?v=0.05,ESP v CRO,MID
M. Mudryk,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.0,1860.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250113435.jpg?v=0.05,ROU v UKR,MID
M. Daramy,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,1512.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250120799.jpg?v=0.05,SVN v DEN,MID
M. Pašalić,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,1577.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250042631.jpg?v=0.05,ESP v CRO,MID
Joselu,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,915.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005193.jpg?v=0.05,ESP v CRO,FWD
P. Neto,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,1802.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250106986.jpg?v=0.05,POR v CZE,MID
G. Ramos,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,1036.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250116654.jpg?v=0.05,POR v CZE,FWD
G. Scamacca,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,897.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250076743.jpg?v=0.05,ITA v ALB,FWD
M. Rashford,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,977.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088246.jpg?v=0.05,SRB v ENG,FWD
B. Šeško,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,662.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SVN v DEN,FWD
A. Mitrović,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,873.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250042869.jpg?v=0.05,SRB v ENG,FWD
D. Malen,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,539.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250081555.jpg?v=0.05,POL v NED,FWD
R. Orsolini,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1149.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250112400.jpg?v=0.05,ITA v ALB,MID
P. Gross,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1054.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,GER v SCO,MID
Y. Carrasco,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,487.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250040959.jpg?v=0.05,BEL v SVK,MID
L. Openda,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,733.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,FWD
T. Muller,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,368.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250003318.jpg?v=0.05,GER v SCO,FWD
S. Gnabry,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,660.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250041770.jpg?v=0.05,GER v SCO,FWD
C. Nkunku,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,540.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,AUT v FRA,MID
M. Thuram,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,399.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250068805.jpg?v=0.05,AUT v FRA,FWD
J. Bowen,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,312.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,FWD
J. Wind,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,225.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089514.jpg?v=0.05,SVN v DEN,FWD
A. Milik,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,90.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,POL v NED,FWD
M. Arnautović,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,189.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1903428.jpg?v=0.05,AUT v FRA,FWD
S. Berghuis,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,74.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250014668.jpg?v=0.05,POL v NED,FWD
S. Bergwijn,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,158.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066551.jpg?v=0.05,POL v NED,FWD
K. Aktürkoğlu,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,294.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250146674.jpg?v=0.05,TUR v GEO,FWD
J. Bakayoko,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,117.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,FWD
D. Undav,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,83.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,GER v SCO,FWD
M. Asensio,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,221.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,ESP v CRO,MID
Rodri,6.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8867.0,6405.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250082664.jpg?v=0.05,ESP v CRO,MID
L. Yamal,6.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5230.0,4132.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,ESP v CRO,FWD
S. McTominay,6.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320.0,3691.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088240.jpg?v=0.05,GER v SCO,MID
T. Kroos,6.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2832.0,2394.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,GER v SCO,MID
J. Kimmich,6.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707.0,1993.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250070417.jpg?v=0.05,GER v SCO,MID
D. Rice,6.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.0,2512.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250083732.jpg?v=0.05,SRB v ENG,MID
H. Çalhanoğlu,6.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3479.0,2339.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250022829.jpg?v=0.05,TUR v GEO,MID
F. de Jong,6.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,1786.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250084709.jpg?v=0.05,POL v NED,MID
J. McGinn,6.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,1158.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250058958.jpg?v=0.05,GER v SCO,MID
P. Zieliński,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,576.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024370.jpg?v=0.05,POL v NED,MID
S. Milinković-Savić,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,654.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250059163.jpg?v=0.05,SRB v ENG,MID
J. Brandt,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,517.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250046522.jpg?v=0.05,GER v SCO,MID
L. Goretzka,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,542.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250041771.jpg?v=0.05,GER v SCO,MID
M. O'Riley,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,303.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SVN v DEN,MID
N. Okafor,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,374.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101696.jpg?v=0.05,HUN v SUI,FWD
M. Kovačić,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,450.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250023551.jpg?v=0.05,ESP v CRO,MID
A. Rabiot,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,382.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250053905.jpg?v=0.05,AUT v FRA,MID
M. Diaby,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,453.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087432.jpg?v=0.05,AUT v FRA,MID
T. Koopmeiners,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,596.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,POL v NED,MID
M. Sabitzer,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,702.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024349.jpg?v=0.05,AUT v FRA,MID
I. Perišić,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,429.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/103310.jpg?v=0.05,ESP v CRO,MID
X. Shaqiri,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,884.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1905360.jpg?v=0.05,HUN v SUI,MID
R. Horta,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,111.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250062142.jpg?v=0.05,POR v CZE,FWD
L. Haraslín,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,132.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250058722.jpg?v=0.05,BEL v SVK,MID
K. Dolberg,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,149.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SVN v DEN,FWD
